,precision,recall,f1-score
Western Panjabi (pnb),0.94,0.97,0.96
Polish (pol),0.92,0.92,0.92
Portuguese (por),0.75,0.84,0.79
Pushto (pus),0.99,0.94,0.96
Quechua (que),0.74,0.93,0.82
Tarantino dialect (roa-tara),0.92,0.90,0.91
Romansh (roh),0.90,0.93,0.91
Romanian (ron),0.97,0.89,0.93
Rusyn (rue),0.95,0.84,0.90
Aromanian (rup),0.95,0.82,0.88
Russian (rus),0.64,0.81,0.72
Yakut (sah),0.97,0.93,0.95
Sanskrit (san),0.98,0.90,0.94
Sicilian (scn),0.85,0.87,0.86
Scots (sco),0.95,0.88,0.91
Samogitian (sgs),0.98,0.96,0.97
Sinhala (sin),0.99,0.91,0.95
Slovak (slk),0.95,0.89,0.92
Slovene (slv),0.95,0.87,0.91
Northern Sami (sme),0.88,0.90,0.89
Shona (sna),0.88,0.82,0.85
Sindhi (snd),0.98,0.98,0.98
Somali (som),0.90,0.84,0.87
Spanish (spa),0.46,0.84,0.59
Albanian (sqi),0.95,0.93,0.94
Sardinian (srd),0.94,0.92,0.93
Sranan (srn),0.98,0.88,0.93
Serbian (srp),0.91,0.87,0.88
Saterfriesisch (stq),0.96,0.91,0.93
Sundanese (sun),0.93,0.86,0.89
Swahili (macrolanguage) (swa),0.93,0.85,0.88
Swedish (swe),0.94,0.92,0.93
Silesian (szl),0.92,0.97,0.95
Tamil (tam),0.99,0.98,0.98
Tatar (tat),0.95,0.91,0.93
Tulu (tcy),0.95,0.91,0.93
Telugu (tel),0.99,0.94,0.97
Tetum (tet),1.00,0.81,0.90
Tajik (tgk),0.96,0.94,0.95
Tagalog (tgl),0.93,0.93,0.93
Thai (tha),0.90,0.97,0.93
Tongan (ton),0.99,0.99,0.99
Tswana (tsn),0.99,0.69,0.82
Turkmen (tuk),0.98,0.94,0.96
Turkish (tur),0.84,0.86,0.85
Tuvan (tyv),0.89,0.90,0.90
Udmurt (udm),0.98,0.94,0.96
Uighur (uig),0.98,0.96,0.97
Ukrainian (ukr),0.81,0.94,0.87
Urdu (urd),0.98,0.97,0.98
Uzbek (uzb),0.97,0.92,0.94
Venetian (vec),0.88,0.86,0.87
Veps (vep),0.94,0.90,0.92
Vietnamese (vie),0.97,0.94,0.95
Vlaams (vls),0.92,0.65,0.76
Volapük (vol),0.98,0.99,0.98
Võro (vro),0.98,0.76,0.85
Waray (war),1.00,0.98,0.99
Walloon (wln),0.96,0.91,0.93
Wolof (wol),0.94,0.90,0.92
Wu Chinese (wuu),0.95,0.85,0.90
Xhosa (xho),0.91,0.85,0.88
Mingrelian (xmf),0.95,0.96,0.95
Yiddish (yid),0.99,0.96,0.98
Yoruba (yor),0.87,0.84,0.85
Zeeuws (zea),0.78,0.75,0.76
Cantonese (zh-yue),0.87,0.90,0.89
Standard Chinese (zho),0.92,0.92,0.92
MEAN,0.89,0.87,0.87
